title,description,location,lat,lng,pubDate,guid,imgLink,actURL
"Tyler, The Creator","Tyler, The Creator performs songs from his latest album <em>Flower Boy.</em>",Los Angeles,34.0522342,-118.2436849,"Mon, 11 Dec 2017 09:06:00 -0500",fb2d9b59-962b-4b53-bae9-a39d7d0606a9,https://media.npr.org/assets/img/2017/12/08/tylerthecreator_jkerrigan_wide-5bf707d23827d7dde0807738e22424de29f55fae.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2017/12/20171209_ascvid_tylerthecreator-n.mp4?orgId=1&d=1484&p=510292&story=569379877&t=podcast&e=569379877&ft=pod&f=510292
King Krule,"King Krule, the musical project of English singer, songwriter and rapper, Archy Marshall, brings its twisted, woozy tones to the Tiny Desk.",London,51.5073509,-0.1277583,"Wed, 06 Dec 2017 12:01:00 -0500",3cb8d2ac-99d3-48e9-b367-29f9d550275b,https://media.npr.org/assets/img/2017/12/05/kingkrule_jkerrigan_wide-ee511ea8ee9af70f17f57bc139b5be000b946791.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2017/12/20171205_ascvid_kingkrule-n.mp4?orgId=1&d=1017&p=510292&story=568615607&t=podcast&e=568615607&ft=pod&f=510292
Ted Leo,"Leo's work has, more often than not through the decades, addressed an anxious world, growing and shifting with it and with its listeners. Seven years after his last solo album, he's turned inwards.",South Bend,41.6763545,-86.2519898,"Mon, 04 Dec 2017 09:21:00 -0500",06a69108-53ed-4334-9937-979d8b0f41de,https://media.npr.org/assets/img/2017/12/01/tedleo_charbage_wide-937299b3d69a69380d24d68a52fc474b9447310f.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2017/12/20171201_ascvid_tedleo-n.mp4?orgId=1&d=810&p=510292&story=567806454&t=podcast&e=567806454&ft=pod&f=510292
Phoebe Bridgers,"Her songs come laden with finely detailed observations about hypnotherapy, Jeffrey Dahmer and everything in between. They receive a languid, impeccably-phrased performance at the Tiny Desk.",Los Angeles,34.0522342,-118.2436849,"Mon, 27 Nov 2017 10:09:00 -0500",8aa3ed83-ac72-4d61-9610-f56aaa6742e5,https://media.npr.org/assets/img/2017/11/20/phoebebridgers_jkerrigan_wide-d222eea14c9e2ae78d021b7e78735a8c4903e5c6.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2017/11/20171121_ascvid_phoebebridgerspodcast-n.mp4?orgId=1&d=765&p=510292&story=565377801&t=podcast&e=565377801&ft=pod&f=510292
David Greilsammer,"With a knack for cunning juxtapositions, the adventurous pianist stitches together a baroque sonata, a slice of French serenity and a quirky portrait of a mysterious barn owl.",Jerusalem,31.768319,35.21371,"Mon, 27 Nov 2017 09:21:00 -0500",2e6e653c-e018-4c5e-9d53-467af0c7a651,https://media.npr.org/assets/img/2017/11/20/davidgreilsammer_jkerrigan_wide-683de097d18f1f9230af32408d81b5d5b4c52361.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2017/11/20171120_ascvid_davidgreilsammerpodcast-n.mp4?orgId=1&d=828&p=510292&story=565349728&t=podcast&e=565349728&ft=pod&f=510292
Billy Corgan,"Billy Corgan, complicated frontman of The Smashing Pumpkins, has had a tumultuous decade-and-a-half. His visit to the Tiny Desk, with a string quartet backing him, was anything but.",Elk Grove Village,42.0039178,-87.9703461,"Mon, 20 Nov 2017 09:20:00 -0500",4f5fd52c-a046-4966-90f3-8cb3f3f2a549,https://media.npr.org/assets/img/2017/11/17/billycorgan_jkerrigan_wide-8254681fa504299d152ccbd8d3414b28f7d4928d.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2017/11/20171117_ascvid_billycorganpodcast-n.mp4?orgId=1&d=746&p=510292&story=564879446&t=podcast&e=564879446&ft=pod&f=510292
Natalia Lafourcade,The Grammy-nominated singer's Tiny Desk is an ode to a magical time in Mexican popular music.,Coatepec,19.451938,-96.9594511,"Fri, 27 Oct 2017 11:09:00 -0400",af5f6aec-e2cf-46d2-a7a6-be8993847c60,https://media.npr.org/assets/img/2017/10/26/natalialafourcade_ljdoyle_wide-19981a11660c07ba72b934f7de4c4a139f76ee25.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2017/10/20171025_ascvid_natalielafourcadepodcast-n.mp4?orgId=1&d=934&p=510292&story=560181345&t=podcast&e=560181345&ft=pod&f=510292
Japanese Breakfast,"For this Tiny Desk concert, Japanese Breakfast's Michelle Zauner replaced her gauzy synths with a string quartet. The result is something to behold.",Philadelphia,39.9525839,-75.1652215,"Wed, 25 Oct 2017 08:42:00 -0400",07d42e14-f65c-4677-8f68-5cd1d1454a29,https://media.npr.org/assets/img/2017/10/23/japanesebreakfast__cascani_wide-80426bfa47f5210761576706c0b1d6a66abd5474.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2017/10/20171024_ascvid_japanesebreakfastpodcast-n.mp4?orgId=1&d=683&p=510292&story=559603111&t=podcast&e=559603111&ft=pod&f=510292
The Perceptionists,Watch hip-hop veterans Mr. Lif and Akrobatik team up behind the Tiny Desk.,Boston,42.3600825,-71.0588801,"Fri, 20 Oct 2017 08:42:00 -0400",0e4092d9-0644-457a-bfab-8c4656feb698,https://media.npr.org/assets/img/2017/10/20/perceptionists_cascani_wide-e44243c70cc838f28614b8d1c50237255fc8fa74.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2017/10/20171019_ascvid_theperceptionistspodcast-n.mp4?orgId=1&d=1269&p=510292&story=558983567&t=podcast&e=558983567&ft=pod&f=510292
Thundercat,"Thundercat is willing and able to shape-shift to fit into just about any box you show him, but he won't stay in there for long.",Los Angeles,34.0522342,-118.2436849,"Wed, 18 Oct 2017 09:06:00 -0400",26a6d64f-c8fa-41b9-90f6-2d19617de4f7,https://media.npr.org/assets/img/2017/10/16/thundercat_jkerrigan_wide-8456cc24cc8dcd3b5c7d9fc624577615701c99e4.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2017/10/20171016_ascvid_thundercatpodcast-n.mp4?orgId=1&d=651&p=510292&story=558133181&t=podcast&e=558133181&ft=pod&f=510292
Hanson,"Isaac, Taylor and Zac Hanson just celebrated their 25th anniversary as a band. To celebrate, watch them perform three of their post-""MMMBop"" career highlights.",Tulsa,36.1539816,-95.992775,"Mon, 16 Oct 2017 09:32:00 -0400",1b8c7085-22ef-4068-b86b-97f956efdb21,https://media.npr.org/assets/img/2017/10/16/hanson_jkerrigan2_wide-85b45b6f71fa2e2bb2d3766bf4ea9076bfac6ae9.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2017/10/20171013_ascvid_hansonpodcast-n.mp4?orgId=1&d=870&p=510292&story=557437706&t=podcast&e=557437706&ft=pod&f=510292
Randy Newman,Watch the six-time Grammy winner go solo behind the Tiny Desk.,Los Angeles,34.0522342,-118.2436849,"Tue, 10 Oct 2017 10:15:00 -0400",c25ee550-6861-4ca5-b8a2-194298e86deb,https://media.npr.org/assets/img/2017/10/05/randynewman_ljdoyle_wide-463df46b55ff200e21d2d5c093f28993a5a27e0e.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2017/10/20171018_ascvid_randynewmanpodcast-n.mp4?orgId=1&d=833&p=510292&story=555847888&t=podcast&e=555847888&ft=pod&f=510292
Paramore,Paramore captures the moment between rapture and its comedown. Watch the band rearrange songs from its sparkling pop album <em>After Laughter</em>.,Franklin,37.6826924,-97.3568888,"Mon, 02 Oct 2017 15:38:00 -0400",d242c687-1c0b-40fd-b33a-1445d5d3f82f,https://media.npr.org/assets/img/2017/09/29/paramore_cascani_wide-7cc89fdb1de966c3764e6f29d2946a61ee030c7f.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2017/09/20170929_ascvid_paramorepodcast-n.mp4?orgId=1&d=775&p=510292&story=554529595&t=podcast&e=554529595&ft=pod&f=510292
